순위,제목,가수
1,UP (KARINA Solo),aespa
2,HAPPY,DAY6 (데이식스)
3,내 이름 맑음,QWER
4,Welcome to the Show,DAY6 (데이식스)
5,Mantra,제니 (JENNIE)
6,Supersonic,프로미스나인
7,한 페이지가 될 수 있게,DAY6 (데이식스)
8,Supernova,aespa
9,녹아내려요,DAY6 (데이식스)
10,소나기,이클립스 (ECLIPSE)
11,Pump Up The Volume!,PLAVE
12,WAY 4 LUV,PLAVE
13,예뻤어,DAY6 (데이식스)
14,클락션 (Klaxon),(여자)아이들
15,사랑은 늘 도망가,임영웅
16,How Sweet,NewJeans
17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
18,고민중독,QWER
19,Small girl (feat. 도경수(D.O.)),이영지
20,달랐을까,PLAVE
21,천상연,이창섭
22,우리 영화,PLAVE
23,From,PLAVE
24,Sticky,KISS OF LIFE
25,우리들의 블루스,임영웅
26,온기,임영웅
27,Home,임영웅
28,Watch Me Woo!,PLAVE
29,Supernatural,NewJeans
30,나는 아픈 건 딱 질색이니까,(여자)아이들
31,슬픈 초대장,순순희(지환)
32,모래 알갱이,임영웅
33,다시 만날 수 있을까,임영웅
34,첫 만남은 계획대로 되지 않아,TWS (투어스)
35,이제 나만 믿어요,임영웅
36,버추얼 아이돌,PLAVE
37,무지개,임영웅
38,Do or Die,임영웅
39,Love wins all,아이유
40,London Boy,임영웅
41,Magnetic,아일릿(ILLIT)
42,Polaroid,임영웅
43,Armageddon,aespa
44,Merry PLLIstmas,PLAVE
45,인생찬가,임영웅
46,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
47,에피소드,이무진
48,Bubble Gum,NewJeans
49,별별별 (See that?),NMIXX
50,연애편지,임영웅
51,헤어지자 말해요,박재정
52,해야 (HEYA),IVE (아이브)
53,Boom Boom Bass,RIIZE
54,비의 랩소디,임재현
55,주저하는 연인들을 위해,잔나비
56,너의 모든 순간,성시경
57,Congratulations,DAY6 (데이식스)
58,SPOT! (feat. JENNIE),지코 (ZICO)
59,미안해 미워해 사랑해,Crush
60,보금자리,임영웅
61,다정히 내 이름을 부르면,경서예지
62,Hype Boy,NewJeans
63,청춘만화,이무진
64,Seven (feat. Latto) - Clean Ver.,정국
65,I AM,IVE (아이브)
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
67,인사,범진
68,MEOW,MEOVV (미야오)
69,Love 119,RIIZE
70,To. X,태연 (TAEYEON)
71,청혼하지 않을 이유를 못 찾았어,이무진
72,취중고백,김민석
73,Ditto,NewJeans
74,사랑인가 봐,멜로망스
75,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
76,CRAZY,LE SSERAFIM (르세라핌)
77,사건의 지평선,윤하 (YOUNHA)
78,Get A Guitar,RIIZE
79,ETA,NewJeans
80,Drama,aespa
81,오래된 노래,허각
82,플러팅,황인욱
83,Dynamite,방탄소년단
84,I Don't Think That I Like Her,Charlie Puth
85,봄날,방탄소년단
86,사막에서 꽃을 피우듯,우디 (Woody)
87,Attention,NewJeans
88,밤양갱,비비 (BIBI)
89,Super Shy,NewJeans
90,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
91,위태로울걸,오반(OVAN)
92,Spicy,aespa
93,Love Lee,AKMU (악뮤)
94,LOVE DIVE,IVE (아이브)
95,퀸카 (Queencard),(여자)아이들
96,Nice Guy,BOYNEXTDOOR
97,Girls Never Die,tripleS (트리플에스)
98,Perfect Night,LE SSERAFIM (르세라핌)
99,가까운 듯 먼 그대여,카더가든
100,꿈,태연 (TAEYEON)
